#Item, Peso, Beneficio
Item_01,162,2
Item_02,581,9
Item_03,32,10
Item_04,547,9
Item_05,360,4
Item_06,871,1
Item_07,581,10
Item_08,833,2
Item_09,376,10
Item_10,509,4
Item_11,755,6
Item_12,643,3
Item_13,143,8
Item_14,575,10
Item_15,891,7
Item_16,276,7
Item_17,291,5
Item_18,270,5
Item_19,426,6
Item_20,124,8
Item_21,528,3
Item_22,717,5
Item_23,824,2
Item_24,957,4
Item_25,290,10
Item_26,955,4
Item_27,106,9
Item_28,925,2
Item_29,223,3
Item_30,987,3
Item_31,275,10
Item_32,715,7
Item_33,2,9
Item_34,386,2
Item_35,238,10
Item_36,660,4
Item_37,83,2
Item_38,689,3
Item_39,327,8
Item_40,142,7
Item_41,728,6
Item_42,507,10
Item_43,936,9
Item_44,607,3
Item_45,137,5
Item_46,676,3
Item_47,764,10
Item_48,515,3
Item_49,641,6
Item_50,781,1
Item_51,728,3
Item_52,791,9
Item_53,859,6
Item_54,324,6
Item_55,680,6
Item_56,570,2
Item_57,397,8
Item_58,415,3
Item_59,164,4
Item_60,38,3
Item_61,697,1
Item_62,633,1
Item_63,462,8
Item_64,983,6
Item_65,369,8
Item_66,604,2
Item_67,449,9
Item_68,24,5
Item_69,379,3
Item_70,224,9
Item_71,371,2
Item_72,4,2
Item_73,252,7
Item_74,515,1
Item_75,225,6
Item_76,810,10
Item_77,696,7
Item_78,545,2
Item_79,57,9
Item_80,416,3
Item_81,721,8
Item_82,979,5
Item_83,583,10
Item_84,441,2
Item_85,658,4
Item_86,159,8
Item_87,729,8
Item_88,743,7
Item_89,267,3
Item_90,519,7
Item_91,974,2
Item_92,559,8
Item_93,912,5
Item_94,177,3
Item_95,870,6
Item_96,935,9
Item_97,68,3
Item_98,303,9
Item_99,30,8
Item_100,109,2
Item_101,947,3
Item_102,766,1
Item_103,528,8
Item_104,864,8
Item_105,402,10
Item_106,560,9
Item_107,898,9
Item_108,594,7
Item_109,271,1
Item_110,990,10
Item_111,16,7
Item_112,801,5
Item_113,645,4
Item_114,265,2
Item_115,118,9
Item_116,595,7
Item_117,41,10
Item_118,113,2
Item_119,263,6
Item_120,800,4
Item_121,725,5
Item_122,874,9
Item_123,832,2
Item_124,226,1
Item_125,992,5
Item_126,796,8
Item_127,355,8
Item_128,774,2
Item_129,451,5
Item_130,708,9
Item_131,639,9
Item_132,877,9
Item_133,335,6
Item_134,102,3
Item_135,999,4
Item_136,160,6
Item_137,741,10
Item_138,687,1
Item_139,283,9
Item_140,872,9
Item_141,997,3
Item_142,213,4
Item_143,692,3
Item_144,516,7
Item_145,768,7
Item_146,864,6
Item_147,165,3
Item_148,568,8
Item_149,696,6
Item_150,254,1
Item_151,944,2
Item_152,137,10
Item_153,872,2
Item_154,788,2
Item_155,604,6
Item_156,124,8
Item_157,465,2
Item_158,779,10
Item_159,288,7
Item_160,822,10
Item_161,334,7
Item_162,863,5
Item_163,100,1
Item_164,125,8
Item_165,230,8
Item_166,359,9
Item_167,347,10
Item_168,722,10
Item_169,527,6
Item_170,513,8
Item_171,634,8
Item_172,178,9
Item_173,185,5
Item_174,198,10
Item_175,402,2
Item_176,89,10
Item_177,689,2
Item_178,663,6
Item_179,753,1
Item_180,10,9
Item_181,816,2
Item_182,611,10
Item_183,774,7
Item_184,471,3
Item_185,289,10
Item_186,202,7
Item_187,642,10
Item_188,258,5
Item_189,761,6
Item_190,980,10
Item_191,868,1
Item_192,145,10
Item_193,787,3
Item_194,415,8
Item_195,770,1
Item_196,66,7
Item_197,48,8
Item_198,351,2
Item_199,241,8
Item_200,356,9
